gas,CO,hydrogen,class
211.00,148.00,336.00,1
208.00,146.00,334.00,1
208.00,147.00,335.00,1
208.00,147.00,335.00,1
207.00,147.00,334.00,1
208.00,147.00,335.00,1
207.00,147.00,334.00,1
206.00,146.00,333.00,1
205.00,146.00,332.00,1
204.00,146.00,332.00,1
203.00,146.00,331.00,1
202.00,145.00,329.00,1
201.00,145.00,329.00,1
208.00,152.00,334.00,1
206.00,151.00,332.00,1
204.00,149.00,331.00,1
204.00,149.00,331.00,1
200.00,144.00,322.00,1
202.00,148.00,330.00,1
193.00,141.00,318.00,1
187.00,137.00,307.00,1
188.00,136.00,306.00,1
189.00,137.00,307.00,1
187.00,136.00,302.00,1
193.00,140.00,309.00,1
195.00,141.00,310.00,1
196.00,140.00,310.00,1
197.00,140.00,310.00,1
198.00,140.00,310.00,1
198.00,140.00,310.00,1
197.00,140.00,311.00,1
191.00,140.00,311.00,1
189.00,140.00,312.00,1
200.00,141.00,312.00,1
206.00,141.00,312.00,1
208.00,141.00,312.00,1
205.00,140.00,312.00,1
207.00,141.00,310.00,1
208.00,140.00,310.00,1
210.00,140.00,311.00,1
210.00,140.00,310.00,1
210.00,139.00,310.00,1
209.00,139.00,310.00,1
209.00,140.00,310.00,1
208.00,139.00,309.00,1
208.00,139.00,310.00,1
208.00,139.00,309.00,1
205.00,139.00,309.00,1
207.00,139.00,309.00,1
209.00,139.00,309.00,1
210.00,141.00,309.00,1
210.00,141.00,309.00,1
210.00,140.00,308.00,1
209.00,139.00,308.00,1
209.00,139.00,308.00,1
210.00,139.00,308.00,1
208.00,140.00,308.00,1
209.00,139.00,308.00,1
210.00,139.00,307.00,1
209.00,138.00,307.00,1
210.00,139.00,307.00,1
210.00,138.00,307.00,1
210.00,138.00,306.00,1
210.00,138.00,307.00,1
211.00,139.00,307.00,1
211.00,139.00,307.00,1
211.00,139.00,307.00,1
211.00,139.00,306.00,1
201.00,138.00,306.00,1
192.00,139.00,306.00,1
205.00,138.00,304.00,1
215.00,141.00,306.00,1
218.00,140.00,306.00,1
219.00,140.00,306.00,1
219.00,141.00,307.00,1
220.00,142.00,308.00,1
219.00,142.00,306.00,1
218.00,141.00,306.00,1
218.00,141.00,306.00,1
218.00,141.00,306.00,1
217.00,141.00,305.00,1
217.00,141.00,305.00,1
217.00,141.00,305.00,1
216.00,141.00,305.00,1
216.00,140.00,305.00,1
216.00,140.00,305.00,1
216.00,140.00,305.00,1
215.00,140.00,304.00,1
215.00,140.00,304.00,1
214.00,140.00,304.00,1
214.00,140.00,304.00,1
214.00,140.00,304.00,1
215.00,140.00,303.00,1
215.00,139.00,303.00,1
215.00,140.00,303.00,1
215.00,140.00,303.00,1
213.00,140.00,303.00,1
